h3_index,center_lat,center_lon,elevation_m,dist_to_hospital_m,elevation_risk,distance_risk,vulnerability_score,risk_category
873e66d10ffffff,31.07500017741297,30.080554055610822,2.0,12901.350622799899,0.8378378378378378,0.8467372643940808,84.22875511159593,High
873e66d12ffffff,31.05558912236796,30.064426281673576,0.0,13109.846566255464,0.8918918918918919,0.8604212026080253,87.61565472499586,High
873e66d13ffffff,31.053186681803325,30.09209013448459,-1.0,15236.545225196876,0.9189189189189189,0.9999999999999999,95.94594594594594,High
873e66d14ffffff,31.09681267619761,30.069012665910066,-3.0,10718.03619064322,0.972972972972973,0.7034426789163899,83.82078259446814,High
873e66d15ffffff,31.094407580415414,30.09668704888145,2.0,13230.235569668972,0.8378378378378378,0.8683225346773463,85.3080186257592,High
873e66d16ffffff,31.077401095111856,30.052883049157714,-2.0,10642.81868283458,0.9459459459459459,0.6985060278122898,82.22259868791178,High
873e66d30ffffff,31.13803261100273,30.073602647488727,-2.0,9981.182759336258,0.9459459459459459,0.6550817532330258,80.05138495894859,High
873e66d32ffffff,31.118624169175654,30.057465962651364,-2.0,8800.407781799457,0.9459459459459459,0.5775855124458336,76.17657291958896,High
873e66d33ffffff,31.11622060053727,30.085147505624132,-1.0,11423.632714832467,0.9189189189189189,0.7497521613981792,83.43355401585491,High
873e66d34ffffff,31.159843602830666,30.0620524717406,-2.0,8775.901496581559,0.9459459459459459,0.5759771238737725,76.09615349098593,High
873e66d35ffffff,31.157437383035365,30.089744558897575,1.0,10802.468409983408,0.8648648648648649,0.7089841069824164,78.69244859236406,High
873e66d36ffffff,31.140434647365094,30.045913943102924,-3.0,7325.6335153171085,0.972972972972973,0.48079360557422235,72.68832892735976,High
873e66da4ffffff,31.060376908417158,30.009087267757845,-3.0,9673.62418866718,0.972972972972973,0.6348961687633611,80.39345708681671,High
873e66da5ffffff,31.057985865631935,30.036758655386727,0.0,11210.850187102427,0.8918918918918919,0.7357868874738674,81.38393896828798,High
873f59680ffffff,31.264080249186094,30.059673838961267,1.0,1958.0472658633153,0.8648648648648649,0.12850992379986945,49.668739433236716,Medium
873f59681ffffff,31.261670271572783,30.08739421806007,1.0,4396.499472097498,0.8648648648648649,0.28854962900821823,57.67072469365415,Medium
873f59682ffffff,31.244677161388797,30.043519304657053,-2.0,1943.406850190737,0.9459459459459459,0.1275490487815374,53.67474973637416,Medium
873f59683ffffff,31.24227137704724,30.071236293409346,0.0,3791.534998280627,0.8918918918918919,0.24884479665446174,57.036834427317686,Medium
873f59684ffffff,31.28588805907421,30.048106053291345,-1.0,1335.7147273199869,0.9189189189189189,0.08766519624875971,50.329205758383935,Medium
873f59685ffffff,31.283479631730096,30.075833614356533,-1.0,1738.14680220356,0.9189189189189189,0.1140774878106333,51.6498203364776,Medium
873f59686ffffff,31.26648448240799,30.031949673218758,0.0,0.0,0.8918918918918919,0.0,44.5945945945946,Medium
873f5968effffff,31.239859854304747,30.098949491959964,0.0,6239.074541104529,0.8918918918918919,0.4094809189938208,65.06864054428563,High
873f59690ffffff,31.227666232583925,29.99965264734905,-2.0,0.0,0.9459459459459459,0.0,47.2972972972973,Medium
873f59691ffffff,31.225270376672498,30.02737001146173,-1.0,1354.768347853208,0.9189189189189189,0.0889157172987489,50.391731810883385,Medium
873f59692ffffff,31.20825157610731,29.983512001572816,-3.0,1053.6399556783927,0.972972972972973,0.06915215622081929,52.10625645968962,Medium
